raw,normalized,script,status
"Very good, 👍👍👍👍👍👍👍👍👍👍💯💯",,,dropped:not_valid
DHRUB RAHTEE IMPACT PLAYER OF INDIA 2024 ELECTION 🥲🥲,DHRUB RAHTEE IMPACT PLAYER OF INDIA 2024 ELECTION,roman,kept
Deemak ko kamjor nhi samjhhna chahiye ek deemak gussa andur to pura khokhla bana sakta h desh ko,Deemak ko kamjor nhi samjhhna chahiye ek deemak gussa andur to pura khokhla bana sakta h desh ko,roman,kept
Hmm uska baap keju  jail chala gya delhi me sopda saaf ho gya Aur congress 99 seat😂 kya impact hai,Hmm uska baap keju jail chala gya delhi me sopda saaf ho gya Aur congress 99 seat kya impact hai,roman,kept
Dhruve rathee ne 30 seat kaat di b jp ki 😂,,,dropped:not_valid
German shepherd 😂😂😂,German shepherd,roman,kept
😂😂 ipact player 2024 indian Congress team 200 poin dream 11 (C) winner 🏆,,,dropped:not_valid
​ @Diya-c9h5t with 99 seat😅😅😅😅😅,,,dropped:spam
😂 ​ @Diya-c9h5t  😂,,,dropped:spam
Sapath le ne ke pahale istifa dena parta hai.,Sapath le ne ke pahale istifa dena parta hai.,roman,kept
Dena nahi Lena padta hai President se,Dena nahi Lena padta hai President se,roman,kept
ये किसने कह दिया कि फिर शपथ लेंगे?,ये किसने कह दिया कि फिर शपथ लेंगे?,devanagari,kept
Toh phr ye news Wale aise ku dikha re h,Toh phr ye news Wale aise ku dikha re h,roman,kept
2019 mein estifa nahi diya tha,2019 mein estifa nahi diya tha,roman,kept
Ji ji Bhai Pehle BJP ka PRIME MINISTER hai na abhi NDA sab alliance party milke jeeta Yaha iska PRIME MINISTER...new ly hoga isiliye bro 😅😅😊😊,Ji ji Bhai Pehle BJP ka PRIME MINISTER hai na abhi NDA sab alliance party milke jeeta Yaha iska PRIME MINISTER.new ly hoga isiliye bro,roman,kept
​ @CHRISdiary77264 jab kuch pta nhi to kyu gyan baat rahe ho PM BJP ya kisi bhi party ka nhi hota PM sirf desh ka hota hai agr aisa hota to rahul gandhi congress party ka PM ban jata. 17th loksabha ko bhang krke 18 loksabha ka karyakal suru krna hai isliye PM ne resign kiya hai. Party ya allaince ke MP apna leader chunenge jaise NDA sarvsammati se apna leader Modi ji ko chunenge wahi parliamentary leader PM ki sapath lega.,,,dropped:spam
swatiyoutubelife_  kaun PM ban sakte hai Modi ji ya Rahul Gandhi??,swatiyoutubelife_ kaun PM ban sakte hai Modi ji ya Rahul Gandhi??,roman,kept
"swatiyoutubelife_  Isme bura manne wali kya baat hai desh ki janta hai woh kabhi khulkar pyar deti bhi to kabhi gussa bhi hoti hai ,politics me utar chadhav hota rahta hai. Bharat ek democratic country hai isliye sabke vichar bhi alag alag hai isliye Modi ji ko iss baar kam seat mili hai Jaise aapke ghar me jab aap kuch achha kaam krti hai to mummy papa zyda khus hote hai thik waise hi desh bhi chalta hai but don't worry Modi ji 3rd time PM bnne jaa rahe hai so be happy and cheer our PM for 3rd tenure.","swatiyoutubelife_ Isme bura manne wali kya baat hai desh ki janta hai woh kabhi khulkar pyar deti bhi to kabhi gussa bhi hoti hai ,politics me utar chadhav hota rahta hai. Bharat ek democratic country hai isliye sabke vichar bhi alag alag hai isliye Modi ji ko iss baar kam seat mili hai Jaise aapke ghar me jab aap kuch achha kaam krti hai to mummy papa zyda khus hote hai thik waise hi desh bhi chalta hai but don't worry Modi ji 3rd time PM bnne jaa rahe hai so be happy and cheer our PM for 3rd tenure.",roman,kept
swatiyoutubelife_  8 June ko sapath grahan samaroh hoga aur PM Modi sapath lenge.,swatiyoutubelife_ 8 June ko sapath grahan samaroh hoga aur PM Modi sapath lenge.,roman,kept
​ @gamechanger8473  Shayad Pm to modi hi banege par pehle jitni power nhi hogi unke pas,,,dropped:spam
​ @gamechanger8473 koi baat nahin bro abhi INDIA democratic country hai aap aane do BJP ki sarkar bohat jaldi dictatorship,,,dropped:spam
"@Nasir_hussain_khan  mere bhai sabse pahle aap khud tay kar lo ki desh democratic hai ya dictatorship hai sabse pahle to aap khud confuse ho. Dusri baat agr yeh desh dictatorship hota to India allaince 232 seat kaise jeet jati ? Kya jo dictator 240 seat jeet sakta hai woh 32 seat nhi jeet sakta BJP kyo full majority se chook gyi kuch to socho janadesh ka samman hona chahiye paksh vipaksh vaad vivad chalta rahta hai yahi ek healthy democracy ki khubsurti hai. Khud apne hi desh ke election commission, evm aur judiciary ke baare me galat bolkar duniya me khud apna mazak banwate ho. Mei to kah raha hu India allaince ke paas number hai to sarkar bna le kaun rok raha hai ??",,,dropped:spam
"​ swatiyoutubelife_ political science nahin padhe hon kya, how prime minister is elected in India","​ swatiyoutubelife_ political science nahin padhe hon kya, how prime minister is elected in India",roman,kept
Same here 🌹​ swatiyoutubelife_,Same here ​ swatiyoutubelife_,roman,kept
Oh bhai pm dusra ho skta hai kyunki bjp akela sarkar nhi bna skti,Oh bhai pm dusra ho skta hai kyunki bjp akela sarkar nhi bna skti,roman,kept
V Good  News  V Nice.,,,dropped:not_valid
Bht khusi ki baat h y to bht din s chah rhe the❤❤,Bht khusi ki baat h y to bht din s chah rhe the,roman,kept
"Are mere pyare murkhon, dusre term ka istifa Dena padta hai , tabhi to tisre term ki shapath le payenge","Are mere pyare murkhon, dusre term ka istifa Dena padta hai , tabhi to tisre term ki shapath le payenge",roman,kept
बहुत खूब अब खेल शुरू होगा समय का,बहुत खूब अब खेल शुरू होगा समय का,devanagari,kept
Please regular all contractual and out sourcing employees in across the country,Please regular all contractual and out sourcing employees in across the country,roman,kept
Great   je    majaa  aa  gaa  haa  je,,,dropped:not_valid
very good,,,dropped:too_short
Bahut accha laga Dil se...,Bahut accha laga Dil se.,roman,kept
Bahut badiya,Bahut badiya,roman,kept
"Bahut achhi khabar hai,","Bahut achhi khabar hai,",roman,kept
Very good 👍,,,dropped:too_short
❤❤❤❤ very nice,,,dropped:too_short
ਝੋਲਾ ਸਿਲਵਾ ਲਿਆ ਪਹਿਲਾਂ 😂😂😂😂😂,,,dropped:not_valid
Good 👍👍👍,,,dropped:too_short
अच्छी बात है जो होता है अच्छे के लिए होता है किसी के लिए कर ना शक तो उसको भोगना पड़ेगा,अच्छी बात है जो होता है अच्छे के लिए होता है किसी के लिए कर ना शक तो उसको भोगना पड़ेगा,devanagari,kept
Such hai 😮😮,,,dropped:too_short
Ab agli baar sariya paar .. congratulations sabhi hinduon ko,Ab agli baar sariya paar .. congratulations sabhi hinduon ko,roman,kept
Aapko bhi congratulations bhai,Aapko bhi congratulations bhai,roman,kept
I love you ji🌹,I love you ji,roman,kept
मैने सोचा की अच्छे दिन आ गए,मैने सोचा की अच्छे दिन आ गए,devanagari,kept
❤❤❤❤❤ good,,,dropped:too_short
Thinks modi g,Thinks modi g,roman,kept
Sahi bat hai,Sahi bat hai,roman,kept
Ek varsh pahela no video,Ek varsh pahela no video,roman,kept
We r waiting,We r waiting,roman,kept
Bahut achha,Bahut achha,roman,kept
Bahut bdhiya 😂😂,Bahut bdhiya,roman,kept
Bahut Sundar,Bahut Sundar,roman,kept
Jay....ho🎉🎉🎉🎉🎉🎉🎉🎉,,,dropped:too_short
❤❤❤❤❤❤,,,dropped:too_short
Weldone,,,dropped:too_short
ओडिशा में पांडु कहां गायब हो गए? क्या कोई जानकारी दे सकता है?😭😭😭😭😭😭😭😭,,,dropped:not_valid
Wo tamilnadu chalagaya 😂😂😂,Wo tamilnadu chalagaya,roman,kept
O apne Laxmi bus se uske chala gaya,O apne Laxmi bus se uske chala gaya,roman,kept
Aaj 3 September 2024 ko inflation(mahangaayi) ko high stage par le gya hai modi ji,Aaj 3 September 2024 ko inflation(mahangaayi) ko high stage par le gya hai modi ji,roman,kept
Ye to खुश खबरी सुना दी,Ye to खुश खबरी सुना दी,devanagari,kept
Dhruv rathee ❤❤❤🎉🎉🎉 thank you,,,dropped:not_valid
बहुत सुन्दर,बहुत सुन्दर,devanagari,kept
Bht sahi hua,Bht sahi hua,roman,kept
Good news thanks.,Good news thanks.,roman,kept
New freedom day today.,New freedom day today.,roman,kept
Bahut badhiya,Bahut badhiya,roman,kept
🇮🇳🇮🇳🇮🇳❤️❤️❤️❤️,,,dropped:too_short
👏👏👏👏👏👏👏,,,dropped:too_short
Jai jawan jai kisaan,Jai jawan jai kisaan,roman,kept
Fakir Babu jola kaha he    😂😂😂,,,dropped:not_valid
Fakir admi jhola utha ke chal pada 😂😂😂,Fakir admi jhola utha ke chal pada,roman,kept
Fakir admi jhola utha ke chal pada desh ko chuna laga ke,Fakir admi jhola utha ke chal pada desh ko chuna laga ke,roman,kept
cool,,,dropped:too_short
Jai Ho,,,dropped:too_short
👍👍,,,dropped:too_short
❤,,,dropped:too_short
Good.,,,dropped:too_short
Acchi baat hai,Acchi baat hai,roman,kept
🙏🏻💐💐💐🙏🏻,,,dropped:too_short
❤❤❤,,,dropped:too_short
😊😊😊😊good बुरे दिन जायेगे,good बुरे दिन जायेगे,devanagari,kept
Modi is desh ko chahia❤❤,Modi is desh ko chahia,roman,kept
Permanent resignation deta tho jyda achha hota,Permanent resignation deta tho jyda achha hota,roman,kept
Kya sach mai,Kya sach mai,roman,kept
बहुत खुशी की बात है,बहुत खुशी की बात है,devanagari,kept
खुशी की बात है,खुशी की बात है,devanagari,kept
ਸ਼ੁਕਰ ਆ ਪ੍ਰਮਾਤਮਾ ਤੇਰਾਂ,,,dropped:not_valid
सत्यमेव जयते,सत्यमेव जयते,devanagari,kept
Well-done,,,dropped:too_short
Wow,,,dropped:too_short
अब तो बारिस बंद हो जाएगी हवा बंद हो जाएगी अब देश कैसे जियेगा,अब तो बारिस बंद हो जाएगी हवा बंद हो जाएगी अब देश कैसे जियेगा,devanagari,kept
True,,,dropped:too_short
Bahut kushi hue,Bahut kushi hue,roman,kept
Acha huya hai,Acha huya hai,roman,kept
8 th Jun   कब का खबर है।,,,dropped:not_valid
Esai kyu 😮😢💔💔💘😔,,,dropped:too_short
Good good good good good good good good good good,Good Good,roman,kept
Ab mana sakte h log sahi mayne me utsav,Ab mana sakte h log sahi mayne me utsav,roman,kept
बहुत सही हुओ,बहुत सही हुओ,devanagari,kept
Alhamdulilla,Alhamdulilla,roman,kept
Wah good news 🎉🎉🎉,,,dropped:not_valid
"I thought when pm given resignation with the recommendation for desolved ,then no option before parliament to exercise the making of further government.","I thought when pm given resignation with the recommendation for desolved ,then no option before parliament to exercise the making of further government.",roman,kept
बहुत सुन्दर किया है,बहुत सुन्दर किया है,devanagari,kept
Khuda meharban huwa,Khuda meharban huwa,roman,kept
Ab desh ka kuch achaa hoga 🙏👌,Ab desh ka kuch achaa hoga,roman,kept
Khushiyo ki laher,Khushiyo ki laher,roman,kept
Kya baar baar line bolke video Ko lamba bana dete Hain,Kya baar baar line bolke video Ko lamba bana dete Hain,roman,kept
Very good kabar Mubarak ho aapko,Very good kabar Mubarak ho aapko,roman,kept
Salute you sir Modi,Salute you sir Modi,roman,kept
Puranevido na batay,Puranevido na batay,roman,kept
2 pal kaa resignation kaa kya fyda,2 pal kaa resignation kaa kya fyda,roman,kept
Congratulations pmji,Congratulations pmji,roman,kept
🎉🎉🎉,,,dropped:too_short
gaa..me bambu gusa ab koi mujara nahi hoga.😮😮,gaa..me bambu gusa ab koi mujara nahi hoga.,roman,kept
Ek hi baat 100 baar boldi 2min ke video me,,,dropped:not_valid
Maja ageya,Maja ageya,roman,kept
100 istiffa dena hoga ek se nahi banega thanks by NL from village,100 istiffa dena hoga ek se nahi banega thanks by NL from village,roman,kept
Modi ji 💞❤️,,,dropped:too_short
Nice ab aap PM,Nice ab aap PM,roman,kept
"If you are calling INDI Alliance, then call ND Alliance not NDA alliance.","If you are calling INDI Alliance, then call ND Alliance not NDA alliance.",roman,kept
This our wish what we want to call we call NDA Alliance NDA KGF Alliance do you had any problems...😏😏😏😏,This our wish what we want to call we call NDA Alliance NDA KGF Alliance do you had any problems.,roman,kept
Agar yah Satya hai To badi Khushi Ki baat hai,Agar yah Satya hai To badi Khushi Ki baat hai,roman,kept
What is going on 😢,What is going on,roman,kept
भाई साहब तो जब तक जान है तब तक मैं सता पे रहेगा,भाई साहब तो जब तक जान है तब तक मैं सता पे रहेगा,devanagari,kept
🙏💙 Jay Bhim 💙🙏,,,dropped:too_short
Bahut achcha samay a gaya hai,Bahut achcha samay a gaya hai,roman,kept
"He will be reappointed.  To form a new government, pm have to resign. After new govt is formed he will be reappointed.","He will be reappointed. To form a new government, pm have to resign. After new govt is formed he will be reappointed.",roman,kept
MODIJI Has MADE OUR COUNTRY THE SUPER POWER IN THE WORLD AND SIR HAS PROVED IT ❤❤❤❤❤❤❤❤❤❤❤❤,,,dropped:not_valid
❤❤❤❤❤🎉🎉🎉🎉🎉,,,dropped:too_short
🌋🌋🇮🇳new pm Modi,,,dropped:not_valid
Pr usne tho resign kr diya????,Pr usne tho resign kr diya?,roman,kept
@yuvraj_chadgal  are bhai this is rule new pm bnne se pehle resign krna pdta hai,,,dropped:spam
@HeySRK  ok,,,dropped:spam
ACCHA HUA,,,dropped:too_short
GOOD DECISION,GOOD DECISION,roman,kept
Not to MOVE MODIJI AS SIR HAS BEEN WORKING HARD FOR THE COUNTRY WELFARE AND I STAND FOR MODIJI AND OUR COUNTRY STANDS FOR MODIJI,Not to MOVE MODIJI AS SIR HAS BEEN WORKING HARD FOR THE COUNTRY WELFARE AND I STAND FOR MODIJI AND OUR COUNTRY STANDS FOR MODIJI,roman,kept
after resignation post become EX.,after resignation post become EX.,roman,kept
Bsp mission hai samvidhan hai BSP hamare mahapurushon ka Samman hai BSP hamare mahapurushon ka Samman hai BSP Jay,Bsp mission hai samvidhan hai BSP hamare mahapurushon ka Samman hai BSP hamare mahapurushon ka Samman hai BSP Jay,roman,kept
Sahi kiya,,,dropped:too_short
Ye Purani News hai,Ye Purani News hai,roman,kept
Jay bharat sahi hua,Jay bharat sahi hua,roman,kept
",👍👍👍👍👍👍👍👍",,,dropped:too_short
Good news,,,dropped:too_short
Mere 15 lakh ka hai Modi ji,Mere 15 lakh ka hai Modi ji,roman,kept
Mere Bhai 15 lakh dekar Jana Re,Mere Bhai 15 lakh dekar Jana Re,roman,kept
देश बच गया,देश बच गया,devanagari,kept
Sach hoto bharat ke ache din aayege,Sach hoto bharat ke ache din aayege,roman,kept
4 June 2024 ko modi ji pradhanmantri bnaa,4 June 2024 ko modi ji pradhanmantri bnaa,roman,kept
Bhut achha huaa,Bhut achha huaa,roman,kept
Sabse.acha.din.ab.aaya,Sabse.acha.din.ab.aaya,roman,kept
Achcha hua,Achcha hua,roman,kept
Sensless news,Sensless news,roman,kept
Who's present PM after modi hey premanand ye kya hua 😮,Who's present PM after modi hey premanand ye kya hua,roman,kept
बहुत बहुत बहुत खुशी की बात है अब देश का भला होगा 👍🏾,बहुत बहुत बहुत खुशी की बात है अब देश का भला होगा,devanagari,kept
Acha hua 😊😊,,,dropped:too_short
So sad,,,dropped:too_short
Latest news kaha h 😮,Latest news kaha h,roman,kept
Dukh ki bat h,Dukh ki bat h,roman,kept
बहुत अच्छा हुआ ।,बहुत अच्छा हुआ .,devanagari,kept
Kya karan ho sakta hai,Kya karan ho sakta hai,roman,kept
That's impossible,That's impossible,roman,kept
Evidence to show karo dhong bahut hua,Evidence to show karo dhong bahut hua,roman,kept
Yah to bahut pahle hona tha,Yah to bahut pahle hona tha,roman,kept
Right 👍,,,dropped:too_short
डर के समाने कुछ भी हो सकता है,डर के समाने कुछ भी हो सकता है,devanagari,kept
चुनाव के पहले ही मोदी जी का इस्तेमा लेना चाहिये था फिर निवडणूक लेना चाहिये था,चुनाव के पहले ही मोदी जी का इस्तेमा लेना चाहिये था फिर निवडणूक लेना चाहिये था,devanagari,kept
Indi ki jagah India bolo abb papa to gyo,Indi ki jagah India bolo abb papa to gyo,roman,kept
Jada khus hone ki jrurt nhi h esa koi perfect person h nhi jo bharat ko sambhale.....,Jada khus hone ki jrurt nhi h esa koi perfect person h nhi jo bharat ko sambhale.,roman,kept
😢,,,dropped:too_short
Akv bat Ko kitani bar bolegi,Akv bat Ko kitani bar bolegi,roman,kept
Chalo finally India ma kuch acha hoga. Modi na pahali baar kuch acha kaam kiya ha,Chalo finally India ma kuch acha hoga. Modi na pahali baar kuch acha kaam kiya ha,roman,kept
😮😮😮,,,dropped:too_short
Adi moj nelok kana kuri kanai god ko kiyon lutega dahej  orijnal boold 🆔💊 yellwo dil huna,Adi moj nelok kana kuri kanai god ko kiyon lutega dahej orijnal boold 🆔 yellwo dil huna,roman,kept
बहुत हि मन को धक्का लगा ये सुनकर .,बहुत हि मन को धक्का लगा ये सुनकर .,devanagari,kept
अरे यार शपथ लेने से पहले इस्तिफा देना पड़ता है,अरे यार शपथ लेने से पहले इस्तिफा देना पड़ता है,devanagari,kept
"😂😂 are yaar pahle इस्तीफा देना parta  है, फिर दोबारा Pm ka sapath lena parega","are yaar pahle इस्तीफा देना parta है, फिर दोबारा Pm ka sapath lena parega",mixed,kept
बहुत खुशी हुई,बहुत खुशी हुई,devanagari,kept
Purana video... Job thisri baar modi ji jite... To resign deke  tishiri baar safat lenge... Wohi hey,Purana video. Job thisri baar modi ji jite. To resign deke tishiri baar safat lenge. Wohi hey,roman,kept
एक वर्षा पूर्वीची बातमी आता कश्याला परत परत सांगता. आता राजिनामा दिला तर जनता पेढे वाटतील सगळीकडे.,एक वर्षा पूर्वीची बातमी आता कश्याला परत परत सांगता. आता राजिनामा दिला तर जनता पेढे वाटतील सगळीकडे.,devanagari,kept
😊,,,dropped:too_short
Toh kon banega pm vai,Toh kon banega pm vai,roman,kept
Modiji best pm our india. From irshad bsnl,Modiji best pm our india. From irshad bsnl,roman,kept
🙏🙏🙏🙏🙏🙏  jay bhim jay savidhan 🙏,,,dropped:not_valid
Modi PM banege jai shree Ram ❤❤❤,Modi PM banege jai shree Ram,roman,kept
Asha kieea,Asha kieea,roman,kept
चंदन,,,dropped:too_short
😊😊😊,,,dropped:too_short
BENGAL FILES IS THE BEST MOVIE MADE BY VIVEK AGNIHOTRI AND HIS TEAM SUPER POWER MOVIE 🎬 EVERY ONE MUST WATCH  INDIA BHARAT HINDUSTAN HISTORY,BENGAL FILES IS THE BEST MOVIE MADE BY VIVEK AGNIHOTRI AND HIS TEAM SUPER POWER MOVIE EVERY ONE MUST WATCH INDIA BHARAT HINDUSTAN HISTORY,roman,kept
PM Modi ne Diya istifa veri good veri good veri good,PM Modi ne Diya istifa veri good veri good veri good,roman,kept
Ye to good news h,Ye to good news h,roman,kept
Main sok Ho gaya,Main sok Ho gaya,roman,kept
Tik huava,,,dropped:too_short
बहुत अच्छा हुआ,बहुत अच्छा हुआ,devanagari,kept
Modi ji ne aisa kyun kiya ...,,,dropped:not_valid
Bahut achcha hua,Bahut achcha hua,roman,kept
Jhuthe khabar,Jhuthe khabar,roman,kept
🚩🙏🙏🙏🙏🙏🇮🇳✋👌,,,dropped:too_short
PENDA VECHO BHAIO.,PENDA VECHO BHAIO.,roman,kept
😢😢,,,dropped:too_short
Naya p m kab bany ga,Naya p m kab bany ga,roman,kept
Ab aache din aa jaenge,Ab aache din aa jaenge,roman,kept
Good news ....but all are same,Good news .but all are same,roman,kept
😢😢😢😢😢😢,,,dropped:too_short
Aaj night ho gaya hai warna Aaj hi party karta par kal confirm h,Aaj night ho gaya hai warna Aaj hi party karta par kal confirm h,roman,kept
"Hell ! One year old news,why?","Hell ! One year old news,why?",roman,kept
Modi ji ko hi pm rahana chahiye,Modi ji ko hi pm rahana chahiye,roman,kept
But acha ki,But acha ki,roman,kept
Ya phala ka ha jb chunav hua Tha,Ya phala ka ha jb chunav hua Tha,roman,kept
मज़ा आया बोहोत अच्छा हुआ,मज़ा आया बोहोत अच्छा हुआ,devanagari,kept
VERY NICE SUPERB 👌 GOOD NEWS BJP MODI BHAGAO DESH BACHAO,VERY NICE SUPERB GOOD NEWS BJP MODI BHAGAO DESH BACHAO,roman,kept
गलत खबर देनेमे कुच्छ तो ........होना चाहीये!,,,dropped:not_valid
किसान के साथ पंगा महँगा पड़ा,किसान के साथ पंगा महँगा पड़ा,devanagari,kept
2 hajara dalte hai har mahine.....,,,dropped:not_valid
@hemantpatil733  किसान के लिए 2 हज़ार और जो भीख माँग के खाता है उसको करोड़ों का सूट चस्मा पेन वाह भाई साहब,,,dropped:spam
Haa bhai... ab kishan ko caroro rs milennge or ab har kishan raja ka jindagi jiyega...,Haa bhai. ab kishan ko caroro rs milennge or ab har kishan raja ka jindagi jiyega.,roman,kept
@mukeshkashyap5162  kishan raja hota h apni mrzi ka bhai ji,,,dropped:spam
"Ab Or Chinta mat karo Sab free me milega Gas, Petrol, Grocery, Sabji, Or Nokri Available hoga.","Ab Or Chinta mat karo Sab free me milega Gas, Petrol, Grocery, Sabji, Or Nokri Available hoga.",roman,kept
@joydeepdeb551  free ki jrurt kishan ko h b nhi ambani adani ko h kishan ko sirf fslo ka bhaav mil jaye wo hi kafi h,,,dropped:spam
April 🎉 Bana rahe hai,April Bana rahe hai,roman,kept
क्यों ना फिर से आज़ादी का जश्न मनाया जाये,क्यों ना फिर से आज़ादी का जश्न मनाया जाये,devanagari,kept
8 tarikh tak manalo 😂,8 tarikh tak manalo,roman,kept
Bna ek kaam kr Pakistan jaa😂,Bna ek kaam kr Pakistan jaa,roman,kept
8को फिर सफत लेगे 😂😂,,,dropped:not_valid
Inkalab jindabad 😂😂,Inkalab jindabad,roman,kept
🎉🎉🎉🎉,,,dropped:too_short
You are right 👍🏾,,,dropped:not_valid
Bhai pm ne tera kya bigada,Bhai pm ne tera kya bigada,roman,kept
Jo ram ka nahi wo kisi kaam ka nahi aap logo ne jaati ke nam pe vote deke dhram ke saath gaddari ki he par ant me dhram hi jeetega jai shri ram 🙏🚩🚩🚩,Jo ram ka nahi wo kisi kaam ka nahi aap logo ne jaati ke nam pe vote deke dhram ke saath gaddari ki he par ant me dhram hi jeetega jai shri ram,roman,kept
​ @ABGURUKUL abe ram ke kehne par hi chal le unhone kab kaha ki nafrat failao unki jindgi padh aur unke tarsh chalne ki koshish kar,,,dropped:spam
Wo darling bahut funny ho aap,Wo darling bahut funny ho aap,roman,kept
Kash haquiqat ha jaye,Kash haquiqat ha jaye,roman,kept
Kaha diyà.,Kaha diyà.,roman,kept
Ok,,,dropped:too_short
Good 👍👍,,,dropped:too_short
Very good,,,dropped:too_short
❤❤❤❤❤❤❤❤,,,dropped:too_short
Bohat acha huaa,Bohat acha huaa,roman,kept
❤❤❤❤❤❤❤,,,dropped:too_short
😢😢😢,,,dropped:too_short
Modi ji jundabad s,Modi ji jundabad s,roman,kept
AB SHUBH ACCHE DIN AAYEGA,AB SHUBH ACCHE DIN AAYEGA,roman,kept
😮😎🥺,,,dropped:too_short
", एक दिन  में",,,dropped:not_valid
Jaldi dene lagao Modi ji,Jaldi dene lagao Modi ji,roman,kept
Latest news batane ki koshish karo,Latest news batane ki koshish karo,roman,kept
Jo bhi svidhan se khelna chahega usaka yehi harsh hoga,Jo bhi svidhan se khelna chahega usaka yehi harsh hoga,roman,kept
"Very, good, 👍 i, like,👍",,,dropped:not_valid
Thoda samajhdar ho.... Kya hey  yea...,,,dropped:not_valid
A kam bahut pahele hona chahiye tha,A kam bahut pahele hona chahiye tha,roman,kept
Rashtra pathi ki chunav me part lene ke liye estipha dena padata hei,Rashtra pathi ki chunav me part lene ke liye estipha dena padata hei,roman,kept
